timestamp,service,metric,value
2026-07-11T00:00:00Z,auth-service,p95_latency_ms,79.0
2026-07-11T00:00:00Z,auth-service,error_rate_pct,0.21
2026-07-11T00:00:00Z,auth-service,redis_cpu_pct,33.0
2026-07-11T00:05:00Z,auth-service,p95_latency_ms,83.0
2026-07-11T00:05:00Z,auth-service,error_rate_pct,0.31
2026-07-11T00:05:00Z,auth-service,redis_cpu_pct,33.0
2026-07-11T00:10:00Z,auth-service,p95_latency_ms,78.0
2026-07-11T00:10:00Z,auth-service,error_rate_pct,0.22
2026-07-11T00:10:00Z,auth-service,redis_cpu_pct,28.0
2026-07-11T00:15:00Z,auth-service,p95_latency_ms,75.0
2026-07-11T00:15:00Z,auth-service,error_rate_pct,0.32
2026-07-11T00:15:00Z,auth-service,redis_cpu_pct,34.0
2026-07-11T00:20:00Z,auth-service,p95_latency_ms,80.0
2026-07-11T00:20:00Z,auth-service,error_rate_pct,0.23
2026-07-11T00:20:00Z,auth-service,redis_cpu_pct,33.0
2026-07-11T00:25:00Z,auth-service,p95_latency_ms,85.0
2026-07-11T00:25:00Z,auth-service,error_rate_pct,0.21
2026-07-11T00:25:00Z,auth-service,redis_cpu_pct,38.0
2026-07-11T00:30:00Z,auth-service,p95_latency_ms,86.0
2026-07-11T00:30:00Z,auth-service,error_rate_pct,0.32
2026-07-11T00:30:00Z,auth-service,redis_cpu_pct,33.0
2026-07-11T00:35:00Z,auth-service,p95_latency_ms,80.0
2026-07-11T00:35:00Z,auth-service,error_rate_pct,0.25
2026-07-11T00:35:00Z,auth-service,redis_cpu_pct,36.0
2026-07-11T00:40:00Z,auth-service,p95_latency_ms,82.0
2026-07-11T00:40:00Z,auth-service,error_rate_pct,0.21
2026-07-11T00:40:00Z,auth-service,redis_cpu_pct,29.0
2026-07-11T00:45:00Z,auth-service,p95_latency_ms,75.0
2026-07-11T00:45:00Z,auth-service,error_rate_pct,0.22
2026-07-11T00:45:00Z,auth-service,redis_cpu_pct,38.0
2026-07-11T00:50:00Z,auth-service,p95_latency_ms,84.0
2026-07-11T00:50:00Z,auth-service,error_rate_pct,0.27
2026-07-11T00:50:00Z,auth-service,redis_cpu_pct,28.0
2026-07-11T00:55:00Z,auth-service,p95_latency_ms,83.0
2026-07-11T00:55:00Z,auth-service,error_rate_pct,0.25
2026-07-11T00:55:00Z,auth-service,redis_cpu_pct,34.0
2026-07-11T01:00:00Z,auth-service,p95_latency_ms,76.0
2026-07-11T01:00:00Z,auth-service,error_rate_pct,0.34
2026-07-11T01:00:00Z,auth-service,redis_cpu_pct,37.0
2026-07-11T01:05:00Z,auth-service,p95_latency_ms,85.0
2026-07-11T01:05:00Z,auth-service,error_rate_pct,0.36
2026-07-11T01:05:00Z,auth-service,redis_cpu_pct,29.0
2026-07-11T01:10:00Z,auth-service,p95_latency_ms,79.0
2026-07-11T01:10:00Z,auth-service,error_rate_pct,0.2
2026-07-11T01:10:00Z,auth-service,redis_cpu_pct,37.0
2026-07-11T01:15:00Z,auth-service,p95_latency_ms,84.0
2026-07-11T01:15:00Z,auth-service,error_rate_pct,0.26
2026-07-11T01:15:00Z,auth-service,redis_cpu_pct,36.0
2026-07-11T01:20:00Z,auth-service,p95_latency_ms,75.0
2026-07-11T01:20:00Z,auth-service,error_rate_pct,0.3
2026-07-11T01:20:00Z,auth-service,redis_cpu_pct,35.0
2026-07-11T01:25:00Z,auth-service,p95_latency_ms,86.0
2026-07-11T01:25:00Z,auth-service,error_rate_pct,0.27
2026-07-11T01:25:00Z,auth-service,redis_cpu_pct,29.0
2026-07-11T01:30:00Z,auth-service,p95_latency_ms,82.0
2026-07-11T01:30:00Z,auth-service,error_rate_pct,0.36
2026-07-11T01:30:00Z,auth-service,redis_cpu_pct,35.0
2026-07-11T01:35:00Z,auth-service,p95_latency_ms,77.0
2026-07-11T01:35:00Z,auth-service,error_rate_pct,0.29
2026-07-11T01:35:00Z,auth-service,redis_cpu_pct,29.0
2026-07-11T01:40:00Z,auth-service,p95_latency_ms,87.0
2026-07-11T01:40:00Z,auth-service,error_rate_pct,0.24
2026-07-11T01:40:00Z,auth-service,redis_cpu_pct,27.0
2026-07-11T01:45:00Z,auth-service,p95_latency_ms,86.0
2026-07-11T01:45:00Z,auth-service,error_rate_pct,0.26
2026-07-11T01:45:00Z,auth-service,redis_cpu_pct,26.0
2026-07-11T01:50:00Z,auth-service,p95_latency_ms,80.0
2026-07-11T01:50:00Z,auth-service,error_rate_pct,0.27
2026-07-11T01:50:00Z,auth-service,redis_cpu_pct,34.0
2026-07-11T01:55:00Z,auth-service,p95_latency_ms,80.0
2026-07-11T01:55:00Z,auth-service,error_rate_pct,0.33
2026-07-11T01:55:00Z,auth-service,redis_cpu_pct,29.0
2026-07-11T02:00:00Z,auth-service,p95_latency_ms,86.0
2026-07-11T02:00:00Z,auth-service,error_rate_pct,0.23
2026-07-11T02:00:00Z,auth-service,redis_cpu_pct,27.0
2026-07-11T02:05:00Z,auth-service,p95_latency_ms,86.0
2026-07-11T02:05:00Z,auth-service,error_rate_pct,0.31
2026-07-11T02:05:00Z,auth-service,redis_cpu_pct,35.0
2026-07-11T02:10:00Z,auth-service,p95_latency_ms,86.0
2026-07-11T02:10:00Z,auth-service,error_rate_pct,0.29
2026-07-11T02:10:00Z,auth-service,redis_cpu_pct,34.0
2026-07-11T02:15:00Z,auth-service,p95_latency_ms,80.0
2026-07-11T02:15:00Z,auth-service,error_rate_pct,0.34
2026-07-11T02:15:00Z,auth-service,redis_cpu_pct,38.0
